2018-05-09 06:59:50 status half-configured linux-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status unpacked linux-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status half-installed linux-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status half-installed linux-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status unpacked linux-generic-hwe-16.04:amd64 4.13.0.41.60
2018-05-09 06:59:50 status unpacked linux-generic-hwe-16.04:amd64 4.13.0.41.60
2018-05-09 06:59:50 upgrade linux-image-generic-hwe-16.04:amd64 4.13.0.39.58 4.13.0.41.60
2018-05-09 06:59:50 status half-configured linux-image-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status unpacked linux-image-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status half-installed linux-image-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status half-installed linux-image-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:50 status unpacked linux-image-generic-hwe-16.04:amd64 4.13.0.41.60
2018-05-09 06:59:50 status unpacked linux-image-generic-hwe-16.04:amd64 4.13.0.41.60
2018-05-09 06:59:50 install linux-headers-4.13.0-41:all <none> 4.13.0-41.46~16.04.1
2018-05-09 06:59:50 status half-installed linux-headers-4.13.0-41:all 4.13.0-41.46~16.04.1
2018-05-09 06:59:53 status unpacked linux-headers-4.13.0-41:all 4.13.0-41.46~16.04.1
2018-05-09 06:59:53 status unpacked linux-headers-4.13.0-41:all 4.13.0-41.46~16.04.1
2018-05-09 06:59:53 install linux-headers-4.13.0-41-generic:amd64 <none> 4.13.0-41.46~16.04.1
2018-05-09 06:59:53 status half-installed linux-headers-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:54 status unpacked linux-headers-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:55 status unpacked linux-headers-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:55 upgrade linux-headers-generic-hwe-16.04:amd64 4.13.0.39.58 4.13.0.41.60
2018-05-09 06:59:55 status half-configured linux-headers-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:55 status unpacked linux-headers-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:55 status half-installed linux-headers-generic-hwe-16.04:amd64 4.13.0.39.58
2018-05-09 06:59:55 status half-installed linux-headers-generic-hwe-16.04:amd64 4.13.0.39.58
